"BBKK_ID","SubDist","Dist","SubC","Place","Unit","Housing","MVoter","FMVoter","Voter","DistC"
6639,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในโรงเรียนราษฎร์บูรณะ",6,405,457,541,998,"1049"
6640,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในโรงเรียนราษฎร์บูรณะ",7,270,419,475,894,"1049"
6641,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในโรงเรียนราษฎร์บูรณะ",8,240,403,453,856,"1049"
6642,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในโรงเรียนราษฎร์บูรณะ",9,313,374,469,843,"1049"
6643,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ทางเข้าหมู่บ้านวิเศษสุขนคร (ซอยประชาอุทิศ 79)",10,278,352,446,798,"1049"
6644,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ทางเข้าหมู่บ้านวิเศษสุขนคร (ซอยประชาอุทิศ 79)",11,266,375,431,806,"1049"
6645,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ทางเข้าหมู่บ้านวิเศษสุขนคร (ซอยประชาอุทิศ 79)",12,279,383,431,814,"1049"
6646,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ทางเข้าหมู่บ้านวิเศษสุขนคร (ซอยประชาอุทิศ 79)",13,259,365,410,775,"1049"
6647,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์สวนหย่อมกลางหมู่บ้านวิเศษสุขนคร (ซอยประชาอุทิศ 79)",14,321,392,468,860,"1049"
6648,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์สวนหย่อมกลางหมู่บ้านวิเศษสุขนคร (ซอยประชาอุทิศ 79)",15,312,389,484,873,"1049"
6649,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์สวนหย่อมกลางหมู่บ้านวิเศษสุขนคร (ซอยประชาอุทิศ 79)",16,286,377,480,857,"1049"
6650,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์สวนหย่อมกลางหมู่บ้านวิเศษสุขนคร (ซอยประชาอุทิศ 79)",17,264,382,440,822,"1049"
6651,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์สวนหย่อมกลางหมู่บ้านวิเศษสุขนคร (ซอยประชาอุทิศ 79)",18,349,389,483,872,"1049"
6652,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์บริเวณมัสยิดอัลอิสติกอมะห์ (ปากซอยประชาอุทิศ 69)",19,269,365,427,792,"1049"
6653,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์บริเวณมัสยิดอัลอิสติกอมะห์ (ปากซอยประชาอุทิศ 69)",20,327,347,475,822,"1049"
6654,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์บริเวณมัสยิดอัลอิสติกอมะห์ (ปากซอยประชาอุทิศ 69)",21,199,347,402,749,"1049"
6655,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์บริเวณมัสยิดอัลอิสติกอมะห์ (ปากซอยประชาอุทิศ 69)",22,164,332,407,739,"1049"
6656,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ปากทางเข้าหมู่บ้านสิริจันทร์ (กลางซอยประชาอุทิศ 69)",23,328,470,524,994,"1049"
6657,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ปากทางเข้าหมู่บ้านสิริจันทร์ (กลางซอยประชาอุทิศ 69)",24,284,459,522,981,"1049"
6658,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในลานกีฬาชุมชนดารีซีน",25,226,396,417,813,"1049"
6659,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในบริเวณมัสยิดคอลีดิน (ซอยประชาอุทิศ 54)",26,180,305,352,657,"1049"
6660,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในบริเวณมัสยิดคอลีดิน (ซอยประชาอุทิศ 54)",27,256,436,474,910,"1049"
6661,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในบริเวณมัสยิดคอลีดิน (ซอยประชาอุทิศ 54)",28,271,348,396,744,"1049"
6662,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในบริเวณโรงเรียนบูรณะศึกษา (ซอยประชาอุทิศ 76)",29,294,357,429,786,"1049"
6663,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในบริเวณโรงเรียนบูรณะศึกษา (ซอยประชาอุทิศ 76)",30,272,372,413,785,"1049"
6664,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในบริเวณโรงเรียนบูรณะศึกษา (ซอยประชาอุทิศ 76)",31,281,377,451,828,"1049"
6665,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในบริเวณโรงเรียนบูรณะศึกษา (ซอยประชาอุทิศ 76)",32,300,344,470,814,"1049"
